n_tasks,parallel,distributed,serial
1,0.015510750000000002,0.000102625,6.575e-05
2,0.024008124999999998,0.000216875,6.575e-05
4,0.045529749999999994,0.000282625,6.575e-05
8,0.10443549999999999,0.00035175,6.575e-05
